concept,betweenness,weighted_degree
surplus_value,0.04942842402170458,2023
capital,0.03529642274203557,637
division_of_labour,0.03270649520752399,133
class_struggle,0.03041757637752025,717
means_of_production,0.02889102908922704,390
productive_forces,0.024955557389340292,92
money,0.024338441725124206,289
commodity,0.022983940097480286,612
fixed_capital,0.022703776611501716,571
materialism,0.021487597258499417,181
capitalist_mode_of_production,0.02144920758853031,139
dialectical_materialism,0.020203591433117497,108
labour,0.019784409589363557,398
communism,0.01917186736257554,57
bourgeoisie,0.018775233109366428,86
dictatorship_of_the_proletariat,0.018681768755852944,338
competition,0.018080582646881588,84
constant_capital,0.018022067416189624,1456
labour_power,0.017494874174892174,516
alienation,0.01737933580467254,80
money_capital,0.017125483598502963,370
capital_accumulation_crisis,0.01709842608610768,197
rate_of_profit,0.016655179934043907,932
proletariat,0.01608132745319275,63
rent,0.01601848052785618,520
value,0.01438719947734595,927
state,0.013580005713742394,24
capitalist_production,0.013459692984708794,74
wage_labour,0.013365017763337756,63
imperialism,0.0133142218634488,312
historical_materialism,0.01304983271606131,159
profit,0.012973024227320785,660
private_property,0.012919491275346967,57
variable_capital,0.01243740595550658,1290
reform_vs_revolution,0.012320057145009106,41
socialism,0.012186156882283606,82
soviet_power,0.011608195607536585,376
democracy,0.01124402389837782,29
opportunism,0.01101034152951218,43
marxism,0.0109129683924963,32
commodity_capital,0.010556769351870452,287
peasantry_as_revolutionary_base,0.009935010700060816,161
productive_capital,0.009617127089168257,215
circulating_capital,0.009428341129118572,464
slavery,0.009355530746971798,16
mode_of_production,0.00901781227030863,50
exchange_value,0.008267369324021683,317
use_value,0.008244485857632388,433
revolutionary_agency,0.008219453282920034,197
wages,0.008172563259196535,316
idealism,0.007987536923756927,131
surplus_profit,0.007922125039859533,104
industrial_capital,0.0077025858013587845,126
revenue,0.007415271643631669,81
working_class,0.007411598365755046,23
means_of_subsistence,0.00714529985294394,56
degenerated_workers_state,0.0071038746447645495,53
machism,0.006912085315325842,25
commodity_production,0.006069496183841225,29
vanguard_party,0.006017747778477147,218
general_rate_of_profit,0.005917595021615764,78
capitalism,0.005666706592574582,34
bourgeois_democracy,0.005653299936166071,27
state_capitalism,0.005619444048543798,37
reproduction,0.005544226124742402,56
consciousness,0.005539675745782432,15
base_superstructure,0.0054968346394093474,137
productive_labour,0.00549604446951343,168
merchant_capital,0.00543257063839633,77
productivity_of_labour,0.005417127490166297,144
revolutionary_war,0.005136852765579827,18
bureaucracy,0.005076523612671399,42
monopoly,0.0050199914421976445,37
unproductive_labour,0.004966248680771301,114
organic_composition_of_capital,0.004833665432435724,134
price_of_production,0.004761743037468902,193
empirio_criticism,0.0047447625026927915,35
federalism,0.004619360966926886,11
productivity,0.004500376571966824,41
productive_power_of_labour,0.004453959909834569,22
price,0.0044192525159026845,156
law_of_value,0.004416593785711243,50
labour_process,0.004382821023395769,102
over_production,0.004202972810848502,22
law,0.004188933199581485,7
differential_rent,0.00417346911123011,141
contradiction,0.0041534108526293835,15
military_communism,0.0041063589122833834,5
petty_bourgeoisie,0.0040887821216787626,24
social_capital,0.004083423179387628,34
labour_time,0.00398438523167484,143
bourgeois_society,0.0039619661792504365,11
machinery,0.0038838746982510193,54
commodities,0.0038435937239775135,43
interest,0.003819636059676086,130
commodity_value,0.003811856210004631,44
manufacture,0.0036856695777201243,37
raw_materials,0.0036347395744482547,41
centralized_state,0.0035968705703429177,3
gold,0.003594148733134093,45
credit_system,0.0035905773863980097,26
property,0.003539874248804337,12
average_profit,0.003532781945552177,48
proletarian_revolution,0.0033990429679954873,43
capitalist,0.0033431923724665524,37
interest_rate,0.003184225287773897,57
landed_property,0.0031525545698209236,46
spontaneity,0.0031300612027052774,46
